file,length(s)
01_17/Home_Visit/Processing/Video_Files/01_17_parent1.mp4,3611.264
01_14/Home_Visit/Processing/Video_Files/01_14_parent1.mp4,4015.36
01_14/Home_Visit/Processing/Video_Files/01_14_video.mp4,3926.144
01_08/Home_Visit/Processing/Video_Files/01_08_video.mp4,3988.010667
01_08/Home_Visit/Processing/Video_Files/01_8_down1.mp4,3992.192
01_06/Home_Visit/Processing/Video_Files/01_6_down1.mp4,3654.912
01_06/Home_Visit/Processing/Video_Files/01_6_up1.mp4,3664.384
01_06/Home_Visit/Processing/Video_Files/01_06_video.mp4,3648.64
01_09/Home_Visit/Processing/Video_Files/01_09_video.mp4,3365.098667
01_09/Home_Visit/Processing/Video_Files/01_9_down1.mp4,3598.976
01_09/Home_Visit/Processing/Video_Files/01_9_up1.mp4,3422.848
01_07/Home_Visit/Processing/Video_Files/01_7_up1.mp4,2640.128
01_07/Home_Visit/Processing/Video_Files/01_07_video.mp4,3924.586667
01_07/Home_Visit/Processing/Video_Files/01_7_down1.mp4,3930.112
01_10/Home_Visit/Processing/Video_Files/01_10_up1.mp4,3744.0
01_10/Home_Visit/Processing/Video_Files/01_10_down1.mp4,3744.128
01_10/Home_Visit/Processing/Video_Files/01_10_video.mp4,3639.744
01_10/Home_Visit/Processing/Video_Files/01_10_parent1.mp4,3721.6
01_12/Home_Visit/Processing/Video_Files/01_12_up2.mp4,1816.192
01_12/Home_Visit/Processing/Video_Files/01_12_up3.mp4,1839.36
01_12/Home_Visit/Processing/Video_Files/01_12_parent1.mp4,3921.024
01_12/Home_Visit/Processing/Video_Files/01_12_up1.mp4,286.72
01_12/Home_Visit/Processing/Video_Files/01_12_video.mp4,3714.176
01_12/Home_Visit/Processing/Video_Files/01_12_down1.mp4,1278.08
01_12/Home_Visit/Processing/Video_Files/01_12_down2.mp4,2571.392
01_15/Home_Visit/Processing/Video_Files/01_15_video.mp4,3774.101333
01_11/Home_Visit/Processing/Video_Files/01_11_down1.mp4,612.352
01_11/Home_Visit/Processing/Video_Files/01_11_down2.mp4,303.104
01_11/Home_Visit/Processing/Video_Files/01_11_video.mp4,3580.842667
01_11/Home_Visit/Processing/Video_Files/01_11_up1.mp4,3655.552
01_11/Home_Visit/Processing/Video_Files/01_11_parent1.mp4,4020.864
01_13/Home_Visit/Processing/Video_Files/01_13_video.mp4,3780.672
01_13/Home_Visit/Processing/Video_Files/01_13_parent1.mp4,3858.048
01_16/Home_Visit/Processing/Video_Files/01_16_parent1.mp4,3693.696
01_16/Home_Visit/Processing/Video_Files/01_16_video.mp4,3649.984
19_13/Home_Visit/Processing/Video_Files/19_13_parent1.mp4,3734.016
19_13/Home_Visit/Processing/Video_Files/19_13_video.mp4,3683.882667
19_06/Home_Visit/Processing/Video_Files/19_6_up1.mp4,3731.584
19_06/Home_Visit/Processing/Video_Files/19_6_down1.mp4,3734.016
19_06/Home_Visit/Processing/Video_Files/19_06_video.mp4,3720.789333
19_11/Home_Visit/Processing/Video_Files/19_11_video.mp4,3716.245333
19_11/Home_Visit/Processing/Video_Files/19_11_up1.mp4,3860.992
19_11/Home_Visit/Processing/Video_Files/19_11_down1.mp4,3863.296
19_09/Home_Visit/Processing/Video_Files/19_9_up3.mp4,1701.1
19_09/Home_Visit/Processing/Video_Files/19_09_video.mp4,3753.322667
19_09/Home_Visit/Processing/Video_Files/19_9_down1.mp4,3810.944
19_09/Home_Visit/Processing/Video_Files/19_9_up1.mp4,1750.433333
19_09/Home_Visit/Processing/Video_Files/19_9_up2.mp4,32.433333
19_07/Home_Visit/Processing/Video_Files/19_7_down1.mp4,3816.576
19_07/Home_Visit/Processing/Video_Files/19_07_video.mp4,3828.330667
19_07/Home_Visit/Processing/Video_Files/19_7_up1.mp4,3790.72
19_12/Home_Visit/Processing/Video_Files/19_12_video.mp4,3623.146667
19_12/Home_Visit/Processing/Video_Files/19_12_parent1.mp4,3846.016
19_10/Home_Visit/Processing/Video_Files/19_10_down1.mp4,3626.624
19_10/Home_Visit/Processing/Video_Files/19_10_video.mp4,3575.936
19_08/Home_Visit/Processing/Video_Files/19_8_down1.mp4,3731.328
19_08/Home_Visit/Processing/Video_Files/19_08_video.mp4,3702.229333
19_08/Home_Visit/Processing/Video_Files/19_8_up1.mp4,3736.96
19_15/Home_Visit/Processing/Video_Files/19_15_parent1.mp4,3698.816
19_15/Home_Visit/Processing/Video_Files/19_15_video.mp4,3622.784
19_14/Home_Visit/Processing/Video_Files/19_14_video.mp4,3653.546667
19_14/Home_Visit/Processing/Video_Files/19_14_parent1.mp4,3704.192
