file,length(s)
31_06/Home_Visit/Processing/Video_Files/31_06_video.mp4,3534.954667
31_12/Home_Visit/Processing/Video_Files/31_12_video.mp4,3669.333333
31_10/Home_Visit/Processing/Video_Files/31_10_video.mp4,3449.28
31_13/Home_Visit/Processing/Video_Files/31_13_video.mp4,3662.656
17_15/Home_Visit/Processing/Video_Files/17_15_video.mp4,3552.981333
17_07/Home_Visit/Processing/Video_Files/17_07_video.mp4,3843.136
17_14/Home_Visit/Processing/Video_Files/17_14_video.mp4,3494.762667
17_11/Home_Visit/Processing/Video_Files/17_11_video.mp4,3747.136
17_08/Home_Visit/Processing/Video_Files/17_08_video.mp4,3635.989333
17_10/Home_Visit/Processing/Video_Files/17_10_video.mp4,3651.904
17_13/Home_Visit/Processing/Video_Files/17_13_video.mp4,3640.832
17_12/Home_Visit/Processing/Video_Files/17_12_video.mp4,3435.968
17_09/Home_Visit/Processing/Video_Files/17_09_video.mp4,3684.714667
28_06/Home_Visit/Processing/Video_Files/28_06_video.mp4,3459.328
28_09/Home_Visit/Processing/Video_Files/28_09_video.mp4,3656.277333
28_12/Home_Visit/Processing/Video_Files/28_12_video.mp4,3750.976
28_13/Home_Visit/Processing/Video_Files/28_13_video.mp4,3712.064
28_11/Home_Visit/Processing/Video_Files/28_11_video.mp4,3559.018667
28_07/Home_Visit/Processing/Video_Files/28_07_video.mp4,3616.106667
28_08/Home_Visit/Processing/Video_Files/28_8_video.mp4,3792.661333
28_10/Home_Visit/Processing/Video_Files/28_10_video.mp4,3714.346667
11_11/Home_Visit/Processing/Video_Files/11_11_video.mp4,3637.866667
11_09/Home_Visit/Processing/Video_Files/11_09_video.mp4,3657.194667
11_07/Home_Visit/Processing/Video_Files/11_07_video.mp4,3800.0
11_10/Home_Visit/Processing/Video_Files/11_10_video.mp4,3718.912
11_13/Home_Visit/Processing/Video_Files/11_13_video.mp4,3647.872
11_12/Home_Visit/Processing/Video_Files/11_12_video.mp4,3708.501333
11_17/Home_Visit/Processing/Video_Files/11_17_video.mp4,3580.48
11_08/Home_Visit/Processing/Video_Files/11_08_video.mp4,3584.32
11_16/Home_Visit/Processing/Video_Files/11_16_video.mp4,3553.088
11_14/Home_Visit/Processing/Video_Files/11_14_video.mp4,3605.824
11_06/Home_Visit/Processing/Video_Files/11_06_video.mp4,3797.824
